features,validation_score,test_score
"['A_G_count', 'T_count', 'TG__AT_count', 'A__AGA_count', 'T_CA_count', 'TTG_CC_count', 'GA_C_count', 'AC_G_count', 'dG_total', 'AT_A_count', 'Tx_rate', 'TAA_T_count', 'T_CCC_count', 'G_AA_count', 'GA__G_count', 'T_TGC_count', 'A_CTG_count', 'T__C_count', 'TA__AGA_count', 'TA__TG_count', 'MelR_20-3', 'A_T_count', 'C_AAG_count', 'rpoD18', 'T_CAT_count', 'G__AT_count', 'GA_A_count', 'TA_ATG_count']",0.6136231087135439,0.19931616151182263
"['G_TA_count', 'A_ATA_count', 'A_GAT_count', 'T_CA_count', 'TA_ATA_count', 'A__CT_count', 'TTG_CC_count', 'T_TAA_count', 'T_TCA_count', 'rpoD17', 'T__CCT_count', 'T_TA_count', 'GC_C_count', 'T_TAC_count', 'A__CTA_count', 'gc_content', 'atgc_ratio', 'CTT_A_count', 'C__TG_count']",0.47942491152723954,0.17216922874276253
"['C_AA_count', 'A_GAT_count', 'GAA_T_count', 'T_CCT_count', 'GA_count', 'A_AC_count', 'G_AC_count', 'GC__TG_count', 'A_-7', 'T_CCC_count', 'rpoD17', 'C__T_count', 'CTT_AA_count', 'T_G_count', 'GA_C_count', 'TGC_A_count', 'T__AAA_count', 'A__AGA_count', 'TA_GA_count', 'C__TA_count']",0.39055139499759584,-0.04369317528061867
"['A_GAT_count', 'AA_AT_count', 'C_A_count', 'CTA_AA_count', 'rpoD17', 'T_T_count', 'T_CAT_count', 'TAC_T_count', 'T__CAT_count', 'TAC_TG_count', 'Predicted Promoter Strength (KbT)']",0.47422570520423146,0.000958304705768187
"['C_AAA_count', 'T_CA_count', 'T__C_count', 'GAA_T_count', 'A_0', 'entropy', 'GA_C_count', 'C_TA_count', 'T_TCC_count', 'T_TGC_count', 'T_GAT_count', 'CTA_AA_count', 'T_CAT_count', 'rpoS17', 'AT_C_count', 'AT_CT_count', 'GCT__AA_count']",0.5447745365395305,-0.34577681654615144
"['AA_AT_count', 'GG__ATG_count', 'A_AC_count', 'GA__G_count', 'G_CC_count', 'T_GA_count', 'T_ACC_count', 'T_CAT_count', 'CTA__A_count', 'G_AA_count', 'rpoD17', 'A__T_count', 'T_GCC_count', 'T_A_count', 'rpoS17', 'T_ACA_count', 'arcA', 'T__ACC_count', 'A_ACT_count', 'TA_count']",0.6228482047361672,-0.015288849392512294
"['GC_A_count', 'G__AT_count', 'A__G_count', 'T_CAA_count', 'G_CC_count', 'GG__ATG_count', 'T__GC_count', 'A__AT_count', 'rpoD17', 'rpoS17', 'AC_T_count', 'GCC_T_count', 'T_TG_count', 'AGA__G_count', 'TT__A_count', 'TA_AT_count', 'T_AA_count', 'C_C_count', 'AA_GG_count', 'PhoP_18-1', 'T_GAT_count', 'T_CT_count', 'CT_AAC_count', 'TA_CTA_count', 'TTT_AC_count', 'AA_count', 'pssm_score', 'T_TAC_count', 'GC__TG_count', 'tus']",0.6021363449687274,-6.35831557483181e+32
"['T_CAT_count', 'z_curve_x_', 'GA_AT_count', 'AA_CT_count', 'H_NS_28-4', 'TT_CAT_count', 'G_count', 'G_AC_count', 'GG_count', 'A_GG_count', 'CC_count', 'GC_ATG_count', 'T__CT_count', 'rpoS17', 'AT_G_count']",0.5118141981506834,0.3158835206081324
"['C_AA_count', 'A_G_count', 'rpoD17', 'TTG_CC_count', 'AC_G_count', 'A_GA_count', 'TTT_AA_count', 'T_ACC_count', 'C__TAA_count', 'T_TGC_count', 'GC_A_count', 'TT_AT_count', 'GCT__AA_count', 'TA_count', 'Tx_rate', 'dG_total', 'C_TTA_count', 'A_-8', 'A_A_count', 'T__CTG_count', 'GC_C_count', 'TAC_T_count', 'T_count', 'TG__AT_count', 'C_count', 'GCC_T_count', 'T_AGA_count', 'arcA', 'GC_CT_count', 'G__AA_count', 'dG_apparent']",0.5641344473468761,0.13339814057656962
"['G_TA_count', 'C__AAA_count', 'GA__G_count', 'rpoD17', 'GC_ATG_count', 'T_CC_count', 'TTG_CC_count', 'A_ATG_count', 'T__ACT_count', 'T_TGC_count', 'T_TAC_count', 'C_TTA_count', 'CT_AAA_count']",0.6662639936288219,-0.03055257268901168
